Dataset,OpenML ID,LGBM,XGB,MSBoost
electricity,151,0.6137 ± 0.0818,0.6530 ± 0.0997,0.5462 ± 0.0645
pol,722,0.1839 ± 0.0598,0.1524 ± 0.0468,0.1738 ± 0.0489
house_16H,821,0.4086 ± 0.0702,0.4254 ± 0.0681,0.3847 ± 0.0361
MagicTelescope,1120,0.4817 ± 0.0510,0.5090 ± 0.0512,0.4020 ± 0.0428
bank-marketing,1461,0.4070 ± 0.0515,0.3466 ± 0.0508,3.1797 ± 1.2983
Bioresponse,4134,0.5705 ± 0.0811,0.5921 ± 0.0752,0.5012 ± 0.0264
MiniBooNE,41150,0.3043 ± 0.0568,0.3087 ± 0.0610,0.2995 ± 0.0294
default-of-credit-card-clients,42477,0.5489 ± 0.0436,0.5726 ± 0.0449,0.6720 ± 0.0384
Higgs,42769,0.7409 ± 0.0540,0.8661 ± 0.0510,0.7255 ± 0.0842
eye_movements,1044,1.1048 ± 0.0557,1.1657 ± 0.0805,nan ± nan
Diabetes130US,4541,1.1880 ± 0.1006,1.2445 ± 0.1272,nan ± nan
jannis,41168,1.2754 ± 0.0895,1.1890 ± 0.0594,nan ± nan
heloc,45026,0.6773 ± 0.0831,0.7849 ± 0.0932,0.6507 ± 0.0872
heloc,45026,0.6773 ± 0.0831,0.7849 ± 0.0932,0.5888 ± 0.0130
credit,44089,0.7010 ± 0.0711,0.7735 ± 0.1011,1.0202 ± 0.6130
california,45028,0.3911 ± 0.0552,0.4050 ± 0.0625,0.3736 ± 0.0345
electricity,151,0.6137 ± 0.0818,0.6530 ± 0.0997,0.6308 ± 0.1791
compas-two-years,42192,0.7138 ± 0.0543,0.8056 ± 0.0742,0.6986 ± 0.1059
default-of-credit-card-clients,42477,0.5489 ± 0.0436,0.5726 ± 0.0449,0.6514 ± 0.1506
SpeedDating,40536,0.4257 ± 0.0400,0.4524 ± 0.0370,2.0123 ± 2.6458
phoneme,1489,0.4324 ± 0.0750,0.4393 ± 0.0623,0.3467 ± 0.0371
Bioresponse,4134,0.5705 ± 0.0811,0.5921 ± 0.0752,0.5431 ± 0.0805
higgs,4532,0.7543 ± 0.0862,0.8221 ± 0.1008,0.7332 ± 0.1404
Australian,40981,0.5459 ± 0.0691,0.6432 ± 0.0853,0.5087 ± 0.0318
colic,25,0.6678 ± 0.0773,0.8246 ± 0.1319,1.1358 ± 0.1772
guillermo,41159,0.6988 ± 0.1070,0.7725 ± 0.1146,0.5644 ± 0.0461
airlines,1169,0.7761 ± 0.0613,0.8387 ± 0.0670,0.8986 ± 0.0709
jasmine,41143,0.5472 ± 0.0422,0.6198 ± 0.0401,0.5475 ± 0.1169
