Dataset,OpenML ID,LGBM,XGB,MSBoost
credit,44089,0.7010 ± 0.0711,0.7735 ± 0.1011,1.0202 ± 0.6130
california,45028,0.3911 ± 0.0552,0.4050 ± 0.0625,0.3736 ± 0.0345
electricity,151,0.6137 ± 0.0818,0.6530 ± 0.0997,0.6308 ± 0.1791
eye_movements,1044,1.1048 ± 0.0557,1.1657 ± 0.0805,nan ± nan
covertype,1596,nan ± nan,nan ± nan,nan ± nan
compas-two-years,42192,0.7138 ± 0.0543,0.8056 ± 0.0742,0.6986 ± 0.1059
default-of-credit-card-clients,42477,0.5489 ± 0.0436,0.5726 ± 0.0449,0.6514 ± 0.1506
SpeedDating,40536,0.4257 ± 0.0400,0.4524 ± 0.0370,2.0123 ± 2.6458
phoneme,1489,0.4324 ± 0.0750,0.4393 ± 0.0623,0.3467 ± 0.0371
Bioresponse,4134,0.5705 ± 0.0811,0.5921 ± 0.0752,0.5431 ± 0.0805
higgs,4532,0.7543 ± 0.0862,0.8221 ± 0.1008,0.7332 ± 0.1404
Australian,40981,0.5459 ± 0.0691,0.6432 ± 0.0853,0.5087 ± 0.0318
colic,25,0.6678 ± 0.0773,0.8246 ± 0.1319,1.1358 ± 0.1772
