iter	Passed	Remaining
0	3	3428
1	6	3151
2	15	5278
3	21	5475
4	29	5924
5	63	10587
6	98	13947
7	120	14929
8	140	15424
9	146	14482
10	152	13688
11	160	13250
12	164	12452
13	166	11728
14	168	11064
15	172	10604
16	174	10063
17	176	9611
18	179	9258
19	182	8922
20	188	8798
21	191	8530
22	193	8210
23	194	7909
24	195	7621
25	196	7354
26	199	7180
27	203	7067
28	205	6868
29	212	6863
30	216	6765
31	228	6900
32	230	6741
33	236	6722
34	238	6572
35	243	6520
36	246	6425
37	259	6563
38	260	6423
39	262	6288
40	263	6159
41	270	6160
42	277	6177
43	279	6063
44	280	5957
45	282	5852
46	283	5744
47	284	5640
48	285	5545
49	292	5557
50	293	5470
51	295	5389
52	297	5316
53	303	5323
54	305	5244
55	317	5348
56	320	5302
57	329	5350
58	337	5383
59	338	5307
60	341	5255
61	343	5194
62	344	5129
63	353	5164
64	361	5203
65	367	5197
66	377	5256
67	387	5309
68	390	5275
69	397	5280
70	399	5222
71	401	5176
72	404	5131
73	406	5081
74	407	5021
75	410	4990
76	412	4939
77	415	4912
78	422	4920
79	429	4944
80	436	4947
81	438	4907
82	442	4885
83	452	4932
84	454	4891
85	461	4908
86	469	4923
87	477	4950
88	479	4906
89	485	4911
90	489	4894
91	497	4914
92	501	4886
93	502	4841
94	505	4811
95	510	4804
96	520	4847
97	526	4850
98	530	4828
99	533	4803
100	542	4831
101	545	4801
102	548	4779
103	553	4764
104	559	4768
105	566	4780
106	572	4776
107	574	4745
108	575	4705
109	576	4665
110	577	4625
111	578	4585
112	579	4547
113	580	4509
114	581	4471
115	581	4433
116	582	4397
117	583	4362
118	584	4328
119	585	4294
120	586	4263
121	588	4231
122	588	4198
123	589	4166
124	590	4134
125	591	4102
126	592	4071
127	593	4041
128	594	4011
129	595	3982
130	596	3954
131	597	3926
132	598	3898
133	599	3871
134	600	3846
135	601	3819
136	602	3796
137	605	3780
138	606	3754
139	607	3729
140	607	3703
141	608	3678
142	609	3654
143	610	3630
144	611	3605
145	612	3581
146	613	3557
147	614	3535
148	615	3513
149	616	3491
150	617	3471
151	619	3454
152	620	3433
153	621	3411
154	621	3390
155	622	3369
156	623	3348
157	624	3328
158	625	3308
159	626	3287
160	626	3267
161	628	3248
162	628	3229
163	630	3211
164	631	3194
165	632	3176
166	633	3158
167	634	3140
168	635	3122
169	635	3105
170	636	3087
171	637	3070
172	638	3053
173	640	3038
174	640	3021
175	641	3004
176	642	2988
177	643	2972
178	644	2957
179	646	2943
180	647	2928
181	648	2913
182	649	2897
183	649	2882
184	650	2866
185	651	2851
186	652	2836
187	653	2821
188	654	2806
189	655	2792
190	655	2777
191	656	2763
192	657	2750
193	658	2737
194	660	2726
195	662	2715
196	663	2703
197	664	2690
198	665	2677
199	665	2663
200	666	2650
201	667	2637
202	668	2624
203	669	2611
204	670	2598
205	670	2586
206	671	2573
207	673	2562
208	674	2550
209	675	2539
210	676	2527
211	677	2517
212	678	2507
213	679	2496
214	680	2484
215	681	2473
216	682	2462
217	683	2451
218	684	2440
219	685	2429
220	686	2418
221	686	2407
222	688	2398
223	689	2387
224	690	2378
225	692	2370
226	693	2360
227	694	2350
228	694	2339
229	695	2329
230	696	2319
231	697	2308
232	698	2299
233	699	2288
234	700	2278
235	700	2269
236	703	2264
237	704	2256
238	706	2249
239	708	2242
240	709	2233
241	709	2223
242	710	2214
243	711	2204
244	712	2195
245	713	2186
246	714	2177
247	715	2168
248	716	2160
249	717	2152
250	718	2145
251	720	2139
252	722	2134
253	723	2125
254	724	2117
255	725	2109
256	726	2100
257	727	2092
258	728	2084
259	729	2076
260	731	2070
261	732	2062
262	733	2056
263	735	2049
264	736	2042
265	737	2034
266	738	2027
267	739	2019
268	740	2012
269	742	2007
270	744	2001
271	745	1996
272	747	1991
273	749	1985
274	750	1978
275	752	1973
276	754	1968
277	755	1961
278	758	1959
279	759	1954
280	762	1950
281	763	1943
282	765	1939
283	767	1934
284	768	1928
285	770	1923
286	771	1917
287	773	1912
288	775	1906
289	776	1900
290	777	1895
291	779	1889
292	780	1883
293	782	1878
294	783	1871
295	784	1865
296	785	1858
297	787	1854
298	788	1849
299	790	1844
300	791	1839
301	793	1833
302	794	1827
303	796	1822
304	797	1816
305	798	1810
306	799	1804
307	800	1798
308	801	1792
309	802	1786
310	803	1781
311	805	1775
312	806	1770
313	809	1767
314	810	1762
315	812	1758
316	814	1755
317	815	1750
318	817	1744
319	818	1739
320	819	1734
321	820	1728
322	822	1723
323	823	1718
324	825	1714
325	826	1708
326	827	1702
327	828	1697
328	830	1693
329	831	1688
330	832	1683
331	834	1678
332	835	1673
333	836	1668
334	838	1664
335	839	1659
336	840	1653
337	841	1648
338	842	1643
339	843	1637
340	844	1632
341	845	1626
342	846	1621
343	847	1616
344	848	1611
345	849	1606
346	851	1601
347	852	1598
348	856	1597
349	858	1593
350	859	1589
351	860	1584
352	862	1580
353	863	1576
354	865	1571
355	866	1567
356	868	1564
357	870	1560
358	871	1556
359	873	1553
360	875	1550
361	878	1549
362	880	1545
363	882	1541
364	883	1537
365	885	1533
366	886	1529
367	888	1525
368	889	1521
369	891	1517
370	892	1513
371	894	1509
372	895	1505
373	897	1501
374	899	1498
375	900	1494
376	901	1490
377	903	1486
378	904	1481
379	905	1477
380	907	1473
381	908	1469
382	909	1465
383	911	1461
384	912	1457
385	913	1453
386	916	1452
387	918	1449
388	920	1446
389	922	1442
390	923	1437
391	924	1434
392	925	1430
393	927	1426
394	929	1422
395	930	1419
396	932	1415
397	933	1411
398	934	1407
