Dataset,LGBM,XGB,MSBoost
abalone,5.8872 ± 1.2488,6.1480 ± 1.1375,5.6034 ± 1.2269
auction_verification,100261256.9285 ± 9789072.1693,152417485.8474 ± 20391361.0108,93378713.2451 ± 11515231.4493
cars,6472972.5684 ± 1603397.3629,6022283.5005 ± 643624.5853,6714815.5778 ± 2055409.3046
diamonds,2090486.8984 ± 487549.0274,2301443.5723 ± 458663.2479,1926822.9791 ± 344133.0351
fps_benchmark,2917.2280 ± 104.0124,3758.8541 ± 395.4950,2354.4510 ± 110.9576
grid_stability,0.0010 ± 0.0001,0.0012 ± 0.0001,0.0009 ± 0.0001
health_insurance,345.2994 ± 31.4665,397.2537 ± 25.3154,310.6828 ± 27.6937
kin8nm,0.0318 ± 0.0015,0.0364 ± 0.0013,0.0217 ± 0.0016
Moneyball,588.8988 ± 42.4500,635.3445 ± 39.3275,431.9247 ± 24.2184
pumadyn32nh,0.0012 ± 0.0001,0.0014 ± 0.0001,0.0010 ± 0.0001
sarcos,46.0904 ± 15.6904,48.7236 ± 10.0284,32.8192 ± 8.0728
student_performance_por,8.9132 ± 1.2743,12.5153 ± 1.6150,8.1418 ± 1.3556
superconductivity,215.9165 ± 33.5156,222.7227 ± 38.3538,230.1339 ± 37.3247
video_transcoding,163.5462 ± 60.2620,206.6265 ± 64.0276,146.3238 ± 51.3910
wave_energy,1979459881.1691 ± 296673916.8380,3007017010.7938 ± 451532307.3792,0.0000 ± 0.0000
