Dataset,OpenML ID,LGBM,XGB,MSBoost
electricity,151,8.5423 ± 0.5653,8.6144 ± 0.5273,9.1190 ± 0.6201
pol,722,1.7301 ± 0.5046,1.4057 ± 0.5395,1.7661 ± 0.3676
house_16H,821,5.0101 ± 0.7509,4.8659 ± 0.7026,5.2984 ± 0.5173
MagicTelescope,1120,4.9380 ± 0.7864,5.2624 ± 0.5148,5.9472 ± 0.4968
bank-marketing,1461,4.5055 ± 0.4414,4.3973 ± 0.6096,4.0369 ± 0.4355
Bioresponse,4134,8.3621 ± 1.0849,8.1098 ± 0.9118,6.5599 ± 0.4046
MiniBooNE,41150,3.2079 ± 0.3848,3.5683 ± 0.5020,3.3521 ± 0.9509
default-of-credit-card-clients,42477,8.3982 ± 0.4203,8.6505 ± 0.6933,7.4610 ± 1.2095
Higgs,42769,12.7595 ± 1.1922,12.7234 ± 1.3419,13.1920 ± 0.5020
eye_movements,1044,nan ± nan,nan ± nan,nan ± nan
Diabetes130US,4541,nan ± nan,nan ± nan,nan ± nan
jannis,41168,nan ± nan,nan ± nan,nan ± nan
heloc,45026,9.8760 ± 0.6387,10.4527 ± 0.9330,9.6957 ± 1.1364
heloc,45026,9.8760 ± 0.6387,10.4527 ± 0.9330,10.0201 ± 0.6989
credit,44089,11.3898 ± 0.4616,12.0386 ± 1.2815,10.9212 ± 0.8345
california,45028,4.7938 ± 0.5879,5.0822 ± 0.7063,5.5507 ± 1.0471
electricity,151,8.5423 ± 0.5653,8.6144 ± 0.5273,9.4074 ± 0.5273
eye_movements,1044,nan ± nan,nan ± nan,nan ± nan
covertype,1596,nan ± nan,nan ± nan,nan ± nan
compas-two-years,42192,13.4443 ± 1.3801,14.1291 ± 1.4534,11.8223 ± 1.1489
default-of-credit-card-clients,42477,8.3982 ± 0.4203,8.6505 ± 0.6933,8.2900 ± 0.4414
SpeedDating,40536,4.9380 ± 0.4644,4.6496 ± 0.6387,5.2984 ± 0.6201
phoneme,1489,5.9832 ± 0.7680,5.9472 ± 0.5699,6.2716 ± 0.6685
Bioresponse,4134,8.3621 ± 1.0849,8.1098 ± 0.9118,6.6681 ± 0.7118
higgs,4532,12.7595 ± 0.3495,12.9757 ± 1.3866,14.3093 ± 0.5173
Australian,40981,7.4699 ± 0.5378,7.7833 ± 0.8647,7.9401 ± 0.5378
colic,25,11.1707 ± 1.1799,11.7552 ± 1.0406,12.8388 ± 1.2607
